Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
824,Todesbilder,MDR,2012-01-15,Saalfeld und Keppler,12,Miguel Alexandre,Miguel Alexandre,
825,Verschleppt,SR,2012-01-22,Kappl und Deininger,7,"Khyana el Bitar, Dörte Franke",Hannu Salonen,Letzter Fall dieses Teams
826,Schmuggler,SWR,2012-01-29,Blum und Perlmann,22,"Leo P. Ard, Birgit Grosz",Jürgen Bretzinger,Tanja Kraft (Alwara Höfels) als Schwangerschaftsvertretung für „Beckchen“
827,Kein Entkommen,ORF,2012-02-05,Eisner und Fellner,27,"Fabian Eder, Lukas Sturm",Fabian Eder,"Stellte mit 15 getöteten Personen weiteren „Leichenrekord“ auf, abgelöst durch Kopfgeld (2014)"
828,Ordnung im Lot,Radio Bremen,2012-02-12,Lürsen und Stedefreund,25,"Peter Henning, Claudia Prietzel","Peter Henning, Claudia Prietzel",
829,Der traurige König,BR,2012-02-26,Batic und Leitmayr,61,"Jobst Oetzmann, Magnus Vattrodt",Thomas Stiller,Publikumspreis des Deutschen Fernsehkrimipreises 2012
830,Scherbenhaufen,SWR,2012-03-04,Lannert und Bootz,10,"Eva Zahn, Volker A. Zahn",Johannes Grieser,
831,Hinkebein,WDR,2012-03-11,Thiel und Boerne,21,"Jan Hinter, Stefan Cantz",Manfred Stelzer,
832,Falsch verpackt,ORF,2012-03-25,Eisner und Fellner,28,Martin Ambrosch,Sabine Derflinger,
833,Alles hat seinen Preis,RBB,2012-04-01,Ritter und Stark,32,"Hartmut Block, Michael Gantenberg",Florian Kern,
834,Kinderland,MDR,2012-04-08,Saalfeld und Keppler /Ballauf und Schenk,13 /53,Jürgen Werner,Thomas Jauch,Erster Teil einer Doppelfolge
835,Ihr Kinderlein kommet,WDR,2012-04-09,Ballauf und Schenk /Saalfeld und Keppler,54 /14,Jürgen Werner,Thomas Jauch,Fortsetzung der Folge Kinderland (834)
836,Es ist böse,HR,2012-04-22,Steier und Mey,3,"Lars Kraume, Axel Petermann (Vorlage)",Stefan Kornatz,
837,Die Ballade von Cenk und Valerie,NDR,2012-05-06,Batu,6,Matthias Glasner,Matthias Glasner,Letzter Fall dieses Ermittlers. Nominiert für den Grimme-Preis 2013.
838,Der Wald steht schwarz und schweiget,SWR,2012-05-13,Odenthal und Kopper,56,Dorothee Schön,Ed Herzog,
839,Skalpell,SRF,2012-05-28,Flückiger und Ritschard,2,Urs Bühler,Tobias Ineichen,Erster Fall für Hauptkommissarin Liz Ritschard
840,Hanglage mit Aussicht,SRF,2012-08-26,Flückiger und Ritschard,3,Felix Benesch,Sabine Boss,
841,Fette Hunde,WDR,2012-09-02,Ballauf und Schenk,55,André Georgi,Andreas Kleinert,
842,Borowski und der stille Gast,NDR,2012-09-09,Borowski und Brandt,19,Sascha Arango,Christian Alvart,Gastauftritt von Lars Eidinger als „Kai Korthals“
843,Hochzeitsnacht,Radio Bremen,2012-09-16,Lürsen und Stedefreund,26,Jochen Greve,Florian Baxmeyer,
844,Alter Ego,WDR,2012-09-23,"Faber, Bönisch, Dalay und Kossik",1,Jürgen Werner,Thomas Jauch,Erster Fall mit dem neuen Team Dortmund
845,Nachtkrapp,SWR/SRF,2012-10-07,"Blum, Perlmann und Lüthi",23,Melody Kreiss,Patrick Winczewski,Zehnjähriges Bestehen des Bodensee-Tatorts
846,Borowski und der freie Fall,NDR,2012-10-14,Borowski und Brandt,20,"Eoin Moore, Fred Breinersdorfer (Idee)",Eoin Moore,"Gastauftritt von Tom Buhrow, Einbau fiktiver Ermittlungen rund um den Tod Uwe Barschels"
847,Tote Erde,SWR,2012-10-21,Lannert und Bootz,11,"Wolf Jakoby, Thomas Freundner",Thomas Freundner,Wegen Erkrankung von Carolina Vera übernahm Natalia Wörner kurzfristig und vorübergehend die Rolle der Staatsanwältin.[38]
848,Ein neues Leben,BR,2012-10-28,Batic und Leitmayr,62,"Fred Breinersdorfer, Léonie-Claire Breinersdorfer",Elmar Fischer,
849,Mein Revier,WDR,2012-11-11,"Faber, Bönisch, Dalay und Kossik",2,Jürgen Werner,Thomas Jauch,
850,"Dinge, die noch zu tun sind",RBB,2012-11-18,Ritter und Stark,33,Jörg Tensing,Claudia Garde,Tatort im Rahmen der ARD-Themenwoche „Leben mit dem Tod“.
851,Das Wunder von Wolbeck,WDR,2012-11-25,Thiel und Boerne,22,Wolfgang Stauch,Matthias Tiefenbacher,Zehnjähriges Bestehen des Tatorts Münster.
852,Todesschütze,MDR,2012-12-02,Saalfeld und Keppler,15,"Mario Giordano, Andreas Schlüter",Johannes Grieser,
853,Wegwerfmädchen,NDR,2012-12-09,Lindholm,20,Stefan Dähnert,Franziska Meletzky,1. Teil einer Doppelfolge
854,Das goldene Band,NDR,2012-12-16,Lindholm,21,Stefan Dähnert,Franziska Meletzky,2. Teil einer Doppelfolge
855,Im Namen des Vaters,HR,2012-12-26,Steier und Mey,4,Lars Kraume,Lars Kraume,Basierend auf der Vorlage Auf der Spur des Bösen von Axel Petermann. Uraufgeführt am 3. Okt. 2012 beim Filmfest Hamburg[39]
856,Der tiefe Schlaf,BR,2012-12-30,Batic und Leitmayr,63,Alexander Adolph,Alexander Adolph,Nominiert für den Grimme-Preis 2013
857,Scheinwelten,WDR,2013-01-01,Ballauf und Schenk,56,Johannes Rotter,Andreas Herzog,
858,Machtlos,RBB,2013-01-06,Ritter und Stark,34,Klaus Krämer,Klaus Krämer,
859,Kaltblütig,SWR,2013-01-13,Odenthal und Kopper,57,Christoph Darnstädt,Andreas Senn,
860,Melinda,SR,2013-01-27,Stellbrink und Marx,1,"Lars Montag, Dirk Kämper",Hannu Salonen,Neues Team für Saarbrücken
861,Die schöne Mona ist tot,SWR,2013-02-03,Blum und Perlmann,24,Wolfgang Stauch,Ed Herzog,
862,Schmutziger Donnerstag,SRF,2013-02-10,Flückiger und Ritschard,4,Petra Lüschow,Dani Levy,
863,Zwischen den Fronten,ORF,2013-02-17,Eisner und Fellner,29,Verena Kurth,Harald Sicheritz,
864,Puppenspieler,Radio Bremen/WDR,2013-02-24,Lürsen und Stedefreund,27,Christian Jeltsch,Florian Baxmeyer,Günter-Strack-Fernsehpreis 2013 an Jella Haase
865,Willkommen in Hamburg,NDR,2013-03-10,Tschiller und Gümer(Gastauftritt Falke),1,Christoph Darnstädt,Christian Alvart,Erster Einsatz für die Hauptkommissare Nick Tschiller und Yalcin Gümer
866,Schwarzer Afghane,MDR,2013-03-17,Saalfeld und Keppler,16,Holger Jancke,Thomas Jahn,
867,"Summ, Summ, Summ",WDR,2013-03-24,Thiel und Boerne,23,"Stefan Cantz, Jan Hinter",Kaspar Heidelbach,Als Gast: Roland Kaiser als Schlagersänger Roman König.
868,Macht und Ohnmacht,BR,2013-04-01,Batic und Leitmayr,64,Dinah Marte Golch,Thomas Stiller,Gastauftritt von Carlo Menzinger (Michael Fitz)
869,Eine Handvoll Paradies,SR,2013-04-07,Stellbrink und Marx,2,Felice Götze,Hannu Salonen,
870,Wer das Schweigen bricht,HR,2013-04-14,Steier und Mey,5,"Lars Kraume, Axel Petermann (Vorlage)",Edward Berger,Letzter Fall mit KHK Conny Mey
871,Trautes Heim,WDR,2013-04-21,Ballauf und Schenk,57,"Frank Koopmann, Roland Heep, Benjamin Hessler",Christoph Schnee,
872,Feuerteufel,NDR,2013-04-28,Falke und Lorenz,1,Markus Busch,Özgür Yildirim,Neues Team für Hamburg und Umgebung (erster Fall in Hamburg)
873,Borowski und der brennende Mann,NDR,2013-05-12,Borowski und Brandt,21,Daniel Nocke,Lars Kraume,
874,Unvergessen,ORF,2013-05-20,Eisner und Fellner,30,Sascha Bigler,Sascha Bigler,
875,Spiel auf Zeit,SWR,2013-05-26,Lannert und Bootz,12,Holger Karsten Schmidt,Roland Suso Richter,Tatort+: Bereits eine Woche vor Erstausstrahlung konnten Zuschauer die Handlung im Internet virtuell weiterführen.
876,Er wird töten,Radio Bremen,2013-06-09,Lürsen und Stedefreund,28,Christian Jeltsch,Florian Baxmeyer,
877,Die Wahrheit stirbt zuerst,MDR,2013-06-16,Saalfeld und Keppler,17,"Miguel Alexandre, Harald Göckeritz, André Georgi",Miguel Alexandre,
878,Letzte Tage,SWR/SRF,2013-06-23,"Blum, Perlmann und Lüthi",25,Stefan Dähnert,Elmar Fischer,
